method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,33,False,0.08764887601137161,0.00970330461859703,0.2834341526031494,0.08764887601137161,0.00970330461859703,0.2834341526031494,0.09778120245606009,0.09265066064227086,0.14496502525747765,0.11179896278526953
Knowledge-constrained NSGA-II,42,34,False,0.06653299927711487,0.007579370867460966,0.442756325006485,0.06653299927711487,0.007579370867460966,0.442756325006485,0.07422430233424121,0.07237057329697373,0.2264518275161449,0.12434890104911994
Knowledge-constrained NSGA-II,42,35,False,0.11830664426088333,0.009148560464382172,0.27854007482528687,0.11830664426088333,0.009148560464382172,0.27854007482528687,0.13198304942175929,0.08735376289498815,0.14246190380170423,0.1205995720394839
Knowledge-constrained NSGA-II,42,36,False,0.12156130373477936,0.008052420802414417,0.29091599583625793,0.12156130373477936,0.008052420802414417,0.29091599583625793,0.1356139518522853,0.07688742510292657,0.14879168334825008,0.12043102010115399
Knowledge-constrained NSGA-II,42,37,False,0.1499781757593155,0.005891875829547644,0.3564237058162689,0.1499781757593155,0.005891875829547644,0.3564237058162689,0.1673158520140012,0.05625776057608143,0.18229620898355028,0.13528994052454432
Knowledge-constrained NSGA-II,42,38,False,0.15563783049583435,0.005996577441692352,0.34940654039382935,0.15563783049583435,0.005996577441692352,0.34940654039382935,0.17362977035279598,0.05725748942278032,0.17870721466738493,0.13653149148098706
Knowledge-constrained NSGA-II,42,39,False,0.13887715339660645,0.0075719417072832584,0.32603973150253296,0.13887715339660645,0.0075719417072832584,0.32603973150253296,0.15493153672652993,0.07229963698964986,0.1667560436105354,0.13132907244223838
Knowledge-constrained NSGA-II,42,40,False,0.11993168294429779,0.007114321459084749,0.43317875266075134,0.11993168294429779,0.007114321459084749,0.43317875266075134,0.13379594473465828,0.0679301134112999,0.2215532893398067,0.1410931158285883
Knowledge-constrained NSGA-II,42,41,False,0.06275535374879837,0.007149642799049616,0.4553951323032379,0.06275535374879837,0.007149642799049616,0.4553951323032379,0.07000995596699719,0.0682673743354023,0.2329160626909494,0.12373113099778295
Knowledge-constrained NSGA-II,42,42,False,0.11389651149511337,0.007477828301489353,0.41148024797439575,0.11389651149511337,0.007477828301489353,0.41148024797439575,0.127063099452613,0.07140100816526074,0.21045538793654409,0.13630649851813928
Knowledge-constrained NSGA-II,42,43,False,0.06557480990886688,0.01108765508979559,0.2907235622406006,0.06557480990886688,0.01108765508979559,0.2907235622406006,0.07315534500276619,0.10586893944093546,0.14869326140156988,0.10923918194842386
